metric,value,notes
target_images,163,
success_images,163,
failed_images,0,
success_products,66,
failed_products,0,
source_ext_jpg,149,successful_images
source_ext_png,14,successful_images
derived_ext_jpg,163,successful_images
aspect_horizontal,7,successful_images
aspect_square,135,successful_images
aspect_vertical,21,successful_images
background_none,135,successful_images
background_white_pad,28,successful_images
product_image_count_1,21,products_with_image_count
product_image_count_2,16,products_with_image_count
product_image_count_3,16,products_with_image_count
product_image_count_4,7,products_with_image_count
product_image_count_5,3,products_with_image_count
product_image_count_6,2,products_with_image_count
product_image_count_7,1,products_with_image_count
