対象週,順位,機種名,カテゴリ,総合スコア,GT値,GS値,YT値,傾向コメント,公開向けひとこと,注意メモ
2026-04-06,1,Concept2 SkiErg,ski_erg,54.59,44.0,3.333,3.0,GTと補助ソースが揃い、今週の参考指標では最上位。,Concept2 SkiErgは今週の検索系シグナルで上位候補です。,販売実績順位ではない。変化率は前週サポート条件によりN/A。
2026-04-06,2,TECHNOGYM Run,treadmill,54.25,58.0,3.5,2.5,GT値は高いが、総合スコアでは僅差で2位。,TECHNOGYM Runはトレッドミル領域で強い候補です。,1位との差は小さいため断定表現を避ける。
2026-04-06,3,Life Fitness T5,treadmill,47.13,35.0,4.0,3.0,GT / GS / YT が揃い、上位候補として安定している。,Life Fitness T5は今週の上位トレッドミル候補です。,変化率は前週サポート条件によりN/A。
2026-04-06,4,Precor TRM 445,treadmill,39.37,26.0,1.5,2.0,GTとYTはあるが、GSはスコア計算上の最小値条件で除外。,Precor TRM 445は参考候補として確認対象です。,GS値が低く、スコア上は一部除外扱い。
2026-04-06,5,CYBEX 770T,treadmill,15.28,4.0,9.0,3.0,GSはあるがGT値が低く、信号の強さは慎重に見る。,CYBEX 770Tは補助ソース上の反応を確認する候補です。,GT値が低い。公開時は強い表現を避ける。
2026-04-06,6,Life Fitness IC7,spin_bike,13.45,0.0,7.0,5.5,GS / YT はあるがGTは0値。,Life Fitness IC7は補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
2026-04-06,7,Concept2 Model D,rowing,13.45,0.0,9.0,5.5,GS / YT はあるがGTは0値。,Concept2 Model Dは補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
2026-04-06,8,Life Fitness 95T,treadmill,13.45,0.0,9.0,7.0,GS / YT はあるがGTは0値。,Life Fitness 95Tは補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
2026-04-06,9,Life Fitness IC5,spin_bike,12.85,0.0,6.0,5.5,GS / YT はあるがGTは0値。,Life Fitness IC5は補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
2026-04-06,10,Matrix A50,elliptical,12.03,0.0,9.0,3.0,GS / YT はあるがGTは0値。,Matrix A50は補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
2026-04-06,11,TECHNOGYM Run Now,treadmill,12.03,0.0,7.0,3.0,GS / YT はあるがGTは0値。,TECHNOGYM Run Nowは補助ソース上で確認できる候補です。,GTが0値。検索トレンドとしては慎重に扱う。
